Header
KOI 5083.01
KOI 5283.01
KOI 5085.01
KOI 5211.01
KOI 5087.01
KOI 5231.01
KOI 5088.01
KOI 5276.01
KOI 5092.01
KOI 5290.01
KOI 5098.01
KOI 5327.01
KOI 5099.01
KOI 522.01
KOI 5101.01
KOI 5228.01
KOI 5104.01
KOI 524.01
KOI 5107.01
KOI 5254.01
KOI 5117.01
KOI 5279.01
KOI 5119.01
KOI 5287.01
KOI 5126.01
KOI 531.01
KOI 5129.01
KOI 5323.01
KOI 5132.01
KOI 533.02
KOI 5135.01
KOI 5216.01
KOI 5142.01
KOI 5220.01
KOI 5149.01
KOI 5224.01
KOI 5150.01
KOI 5230.01
KOI 5155.01
KOI 5237.01
KOI 5156.01
KOI 5247.01
KOI 5157.01
KOI 5249.01
KOI 5158.01
KOI 5269.01
KOI 5164.01
KOI 5278.01
KOI 5169.01
KOI 5281.01
KOI 5174.01
KOI 5284.01
KOI 5176.01
KOI 5288.01
KOI 5179.01
KOI 5297.01
KOI 5192.01
KOI 5310.01
KOI 5202.01
KOI 5322.01
KOI 5205.01
KOI 5324.01
KOI 5207.01
KOI 5329.01
KOI 521.01
KOI 521.02
KOI 5331.01
Kepler-408 b
Kepler-92 d
Kepler-589 c
Kepler-222 d
Kepler-328 b
Kepler-223 b
Kepler-449 c
Kepler-223 c
Kepler-66 b
Kepler-223 d
Kepler-307 b
Kepler-223 e
Kepler-396 b
Kepler-224 b
Kepler-418 b
Kepler-224 c
Kepler-450 c
Kepler-224 d
Kepler-65 c
Kepler-224 e
Kepler-92 b
Kepler-225 b
Kepler-277 c
Kepler-225 c
Kepler-307 c
Kepler-226 b
Kepler-328 c
Kepler-226 c
Kepler-396 c
Kepler-226 d
Kepler-409 b
Kepler-227 b
Kepler-449 b
Kepler-227 c
Kepler-450 b
Kepler-228 b
Kepler-450 d
Kepler-228 c
Kepler-65 b
Kepler-228 d
Kepler-65 d
Kepler-229 b
Kepler-67 b
Kepler-229 c
Kepler-92 c
Kepler-229 d
Kepler-999 b
Kepler-277 b
Kepler-222 c
Kepler-194 b
Kepler-170 c
Kepler-217 c
Kepler-1514 b
Kepler-181 c
Kepler-1515 b
Kepler-205 b
Kepler-1516 b
Kepler-1650 b
Kepler-1517 b
Kepler-176 b
Kepler-1518 b
Kepler-187 c
Kepler-1519 b
Kepler-20 b
Kepler-152 b
Kepler-210 c
Kepler-152 c
Kepler-221 e
Kepler-1520 b
Kepler-168 c
Kepler-1521 b
Kepler-1721 b
Kepler-1522 b
Kepler-179 b
Kepler-1523 b
Kepler-185 b
Kepler-1524 b
Kepler-191 b
Kepler-1525 b
Kepler-197 c
Kepler-1526 b
Kepler-201 c
Kepler-1527 b
Kepler-208 b
Kepler-1528 b
Kepler-214 c
Kepler-1529 b
Kepler-22 b
Kepler-153 b
Kepler-1646 b
Kepler-153 c
Kepler-166 d
Kepler-1530 b
Kepler-169 e
Kepler-1530 c
Kepler-172 b
Kepler-1531 b
Kepler-174 c
Kepler-1532 b
Kepler-1513 b
Kepler-1533 b
Kepler-18 d
Kepler-1534 b
Kepler-183 c
Kepler-1535 b
Kepler-186 d
Kepler-1536 b
Kepler-189 c
Kepler-1537 b
Kepler-192 c
Kepler-1538 b
Kepler-195 c
Kepler-1539 b
Kepler-198 c
Kepler-154 b
Kepler-20 f
Kepler-154 c
Kepler-203 c
Kepler-154 d
Kepler-206 d
Kepler-154 e
Kepler-209 b
Kepler-154 f
Kepler-212 c
Kepler-1540 b
